id,educ,peduc,kids,agem,rural
441,9,5,3,16,1
442,6,8,2,15,1
443,9,2,3,14,1
444,5,5,4,13,1
445,0,0,6,15,1
446,5,0,2,14,1
447,9,0,2,17,1
448,0,0,2,13,1
449,1,1,2,17,1
450,8,10,3,16,1
451,0,0,3,14,1
452,0,0,3,14,1
453,2,5,4,12,1
454,7,5,1,17,1
455,0,0,3,17,1
456,0,5,3,14,1
457,0,1,2,15,1
458,0,0,3,22,1
459,6,3,2,15,1
460,0,0,3,16,0
461,2,3,2,13,0
462,0,0,3,14,0
463,10,12,1,13,0
464,10,9,0,21,0
465,0,0,2,14,0
466,9,0,1,16,0
467,7,5,1,19,0
468,9,10,3,19,0
469,9,4,3,15,0
470,0,5,3,14,0
471,6,8,4,13,0
472,10,12,2,22,0
473,0,4,0,19,0
474,0,10,0,20,0
475,7,5,1,14,0
476,0,5,1,19,0
477,5,10,1,16,0
478,10,16,2,32,1
479,0,9,2,12,1
480,0,5,2,12,1
481,11,5,0,20,1
482,4,11,3,14,1
483,0,2,3,18,1
484,0,0,3,13,1
485,6,13,1,18,1
486,0,9,0,15,1
487,3,5,0,12,1
488,0,0,6,14,1
489,0,0,1,15,1
490,0,5,1,16,1
491,0,0,2,14,1
492,0,6,2,13,1
493,0,9,0,15,1
494,9,9,2,18,1
495,0,0,2,15,1
496,0,0,4,13,1
497,0,4,4,17,1
498,9,7,3,15,1
499,9,5,0,19,1
500,7,0,2,14,1
501,0,2,2,12,1
502,0,0,8,12,1
503,0,5,0,18,1
504,0,2,0,14,1
505,0,11,0,23,1
506,0,0,2,24,1
507,3,15,4,18,1
508,7,4,3,14,1
509,0,2,0,17,1
510,10,12,2,22,1
511,9,11,0,21,1
512,0,0,1,17,1
513,0,11,0,22,1
514,0,0,3,12,1
515,0,0,1,22,0
516,11,12,1,17,0
517,9,12,3,22,0
518,9,10,3,13,0
519,10,13,2,21,0
520,10,10,2,23,0
521,7,15,1,22,0
522,9,0,1,19,0
523,9,7,3,20,0
524,11,15,3,22,0
525,6,11,3,12,0
526,10,11,3,16,0
527,9,9,3,22,0
528,10,11,1,18,0
529,11,5,2,18,0
530,9,8,2,23,0
531,10,17,3,14,0
532,9,6,2,18,0
533,7,7,1,16,0
534,7,10,1,17,0
535,10,10,2,16,0
536,10,7,3,16,0
537,6,0,4,14,0
538,5,15,0,18,0
539,9,6,0,15,0
540,0,10,3,16,0
541,10,10,3,14,0
542,5,7,0,20,0
543,2,9,4,12,0
544,2,10,4,13,0
545,0,5,2,14,0
546,2,10,0,15,0
547,5,11,4,14,0
548,15,10,3,20,0
549,7,9,3,14,0
550,13,15,2,17,0
551,13,15,1,19,0
552,0,0,3,15,0
553,15,11,2,17,0
554,8,9,2,21,0
555,10,17,6,21,0
556,4,9,3,15,0
557,3,10,3,20,0
558,5,10,4,14,0
559,6,10,3,13,0
560,7,4,7,12,0
561,0,10,2,23,0
562,9,9,2,20,0
563,6,0,5,14,0
564,6,0,2,18,0
565,10,11,2,20,0
566,9,0,7,12,0
567,4,0,1,16,0
568,10,7,5,17,0
569,10,5,4,21,0
570,5,5,6,17,0
571,6,4,1,18,0
572,0,4,5,14,0
573,0,0,4,22,0
574,4,12,4,19,0
575,5,6,5,20,0
576,0,4,9,15,0
577,5,5,3,16,0
578,2,4,0,18,0
579,15,10,6,24,0
580,10,10,3,17,0
581,10,4,2,22,0
582,0,4,3,17,0
583,10,7,4,14,0
584,0,0,0,23,0
585,0,0,0,16,0
586,8,7,4,16,0
587,0,7,3,19,0
588,0,7,4,17,0
589,10,10,1,18,0
590,4,0,4,16,0
591,12,7,4,24,0
592,0,0,4,14,1
593,0,0,1,19,1
594,0,9,2,18,1
595,10,10,0,16,1
596,3,0,3,14,1
597,0,12,3,12,1
598,0,0,3,12,1
599,0,0,2,19,1
600,5,0,2,14,1
601,0,3,1,13,1
602,2,3,2,17,1
603,0,0,4,12,1
604,0,3,2,14,1
605,0,0,4,14,1
606,2,0,3,16,1
607,7,9,2,14,1
608,3,2,3,13,1
609,0,0,3,14,1
610,0,0,2,13,1
611,8,9,2,13,1
612,9,12,1,25,1
613,0,5,6,13,1
614,5,9,2,18,1
615,11,12,2,20,1
616,7,5,3,15,1
617,0,8,0,16,1
618,0,0,2,12,1
619,17,17,0,23,1
620,6,14,2,20,1
621,3,10,2,12,1
622,7,15,2,16,1
623,0,0,3,13,1
624,6,11,2,12,1
625,12,11,3,17,1
626,6,0,2,14,1
627,15,17,2,20,0
628,15,15,3,25,0
629,12,15,3,20,0
630,20,15,1,32,0
631,17,17,1,27,0
632,17,17,1,22,0
633,12,12,3,21,0
634,10,10,2,18,0
635,17,17,1,19,0
636,12,15,2,22,0
637,18,10,1,31,0
638,10,10,3,19,0
639,10,15,2,17,0
